,tweet_id,timestamp,rating_numerator,rating_denominator,name,date,time,stage,retweet_count,favorite_count,prediction_1,prediction_1_confidence,prediction_1_result
0,892420643555336193,2017-08-01 16:23:56,13,10,Phineas,08-01-2017,16:23,N/A,8758,39245,Orange,0.0970486,False
1,892177421306343426,2017-08-01 00:17:27,13,10,Tilly,08-01-2017,00:17,N/A,6422,33609,Chihuahua,0.323581,True
2,891815181378084864,2017-07-31 00:18:03,12,10,Archie,07-31-2017,00:18,N/A,4265,25317,Chihuahua,0.716012,True
3,891689557279858688,2017-07-30 15:58:51,13,10,Darla,07-30-2017,15:58,N/A,8849,42611,Paper_Towel,0.17027799999999998,False
4,891327558926688256,2017-07-29 16:00:24,12,10,Franklin,07-29-2017,16:00,N/A,9631,40774,Basset,0.555712,True
5,891087950875897856,2017-07-29 00:08:17,13,10,None,07-29-2017,00:08,N/A,3206,20444,Chesapeake_Bay_Retriever,0.425595,True
6,890971913173991426,2017-07-28 16:27:12,13,10,Jax,07-28-2017,16:27,N/A,2124,11987,Appenzeller,0.34170300000000003,True
7,890729181411237888,2017-07-28 00:22:40,13,10,None,07-28-2017,00:22,N/A,19374,66310,Pomeranian,0.566142,True
8,890609185150312448,2017-07-27 16:25:51,13,10,Zoey,07-27-2017,16:25,N/A,4362,28058,Irish_Terrier,0.487574,True
9,890240255349198849,2017-07-26 15:59:51,14,10,Cassie,07-26-2017,15:59,doggo,7604,32303,Pembroke,0.511319,True
10,890006608113172480,2017-07-26 00:31:25,13,10,Koda,07-26-2017,00:31,N/A,7512,30964,Samoyed,0.957979,True
11,889880896479866881,2017-07-25 16:11:53,13,10,Bruno,07-25-2017,16:11,N/A,5077,28063,French_Bulldog,0.377417,True
12,889665388333682689,2017-07-25 01:55:32,13,10,None,07-25-2017,01:55,puppo,10261,48185,Pembroke,0.966327,True
13,889638837579907072,2017-07-25 00:10:02,12,10,Ted,07-25-2017,00:10,N/A,4659,27468,French_Bulldog,0.99165,True
14,889531135344209921,2017-07-24 17:02:04,13,10,Stuart,07-24-2017,17:02,puppo,2285,15265,Golden_Retriever,0.953442,True
15,889278841981685760,2017-07-24 00:19:32,13,10,Oliver,07-24-2017,00:19,N/A,5575,25585,Whippet,0.626152,True
16,888917238123831296,2017-07-23 00:22:39,12,10,Jim,07-23-2017,00:22,N/A,4635,29391,Golden_Retriever,0.714719,True
17,888804989199671297,2017-07-22 16:56:37,13,10,Zeke,07-22-2017,16:56,N/A,4484,25881,Golden_Retriever,0.46976,True
18,888554962724278272,2017-07-22 00:23:06,13,10,Ralphus,07-22-2017,00:23,N/A,3685,20155,Siberian_Husky,0.700377,True
19,888078434458587136,2017-07-20 16:49:33,12,10,Gerald,07-20-2017,16:49,N/A,3607,22026,French_Bulldog,0.995026,True
20,887705289381826560,2017-07-19 16:06:48,13,10,Jeffrey,07-19-2017,16:06,N/A,5539,30535,Basset,0.821664,True
21,887517139158093824,2017-07-19 03:39:09,14,10,such,07-19-2017,03:39,N/A,11949,46711,Limousine,0.130432,False
22,887473957103951883,2017-07-19 00:47:34,13,10,Canela,07-19-2017,00:47,N/A,18718,69931,Pembroke,0.809197,True
23,887343217045368832,2017-07-18 16:08:03,13,10,None,07-18-2017,16:08,N/A,10629,34049,Mexican_Hairless,0.330741,True
24,887101392804085760,2017-07-18 00:07:08,12,10,None,07-18-2017,00:07,N/A,6106,30887,Samoyed,0.733942,True
25,886983233522544640,2017-07-17 16:17:36,13,10,Maya,07-17-2017,16:17,N/A,7967,35575,Chihuahua,0.793469,True
26,886736880519319552,2017-07-16 23:58:41,13,10,Mingus,07-16-2017,23:58,N/A,3383,12203,Kuvasz,0.309706,True
27,886680336477933568,2017-07-16 20:14:00,13,10,Derek,07-16-2017,20:14,N/A,4571,22674,Convertible,0.738995,False
28,886366144734445568,2017-07-15 23:25:31,12,10,Roscoe,07-15-2017,23:25,pupper,3260,21371,French_Bulldog,0.999201,True
29,886258384151887873,2017-07-15 16:17:19,13,10,Waffles,07-15-2017,16:17,N/A,6444,28282,Pug,0.943575,True
30,885984800019947520,2017-07-14 22:10:11,12,10,Jimbo,07-14-2017,22:10,N/A,6981,33092,Blenheim_Spaniel,0.972494,True
31,885528943205470208,2017-07-13 15:58:47,13,10,Maisey,07-13-2017,15:58,N/A,6587,36398,Pug,0.369275,True
32,885167619883638784,2017-07-12 16:03:00,13,10,None,07-12-2017,16:03,N/A,4484,22178,Malamute,0.8124819999999999,True
33,884925521741709313,2017-07-12 00:01:00,12,10,Earl,07-12-2017,00:01,N/A,18987,78489,Italian_Greyhound,0.259916,True
34,884876753390489601,2017-07-11 20:47:12,13,10,Lola,07-11-2017,20:47,N/A,5996,28276,Chow,0.822103,True
35,884562892145688576,2017-07-11 00:00:02,13,10,Kevin,07-11-2017,00:00,N/A,5045,24577,Pug,0.5464060000000001,True
36,884441805382717440,2017-07-10 15:58:53,14,10,None,07-10-2017,15:58,N/A,5799,27289,Pembroke,0.993225,True
37,884162670584377345,2017-07-09 21:29:42,12,10,Yogi,07-09-2017,21:29,doggo,3072,20610,German_Shepherd,0.707046,True
38,883838122936631299,2017-07-09 00:00:04,12,10,Noah,07-09-2017,00:00,N/A,3533,22132,Doberman,0.610946,True
39,883482846933004288,2017-07-08 00:28:19,5,10,Bella,07-08-2017,00:28,N/A,10242,46483,Golden_Retriever,0.943082,True
40,883360690899218434,2017-07-07 16:22:55,13,10,Grizzwald,07-07-2017,16:22,floofer,3777,22802,Chow,0.987997,True
41,883117836046086144,2017-07-07 00:17:54,13,10,None,07-07-2017,00:17,N/A,6838,37645,Golden_Retriever,0.949562,True
42,882992080364220416,2017-07-06 15:58:11,13,10,Rusty,07-06-2017,15:58,N/A,4051,24214,Eskimo_Dog,0.466778,True
43,882762694511734784,2017-07-06 00:46:41,12,10,Gus,07-06-2017,00:46,pupper,5043,28654,Labrador_Retriever,0.85005,True
44,882627270321602560,2017-07-05 15:48:34,13,10,Stanley,07-05-2017,15:48,N/A,6243,28204,Pembroke,0.542982,True
45,882268110199369728,2017-07-04 16:01:23,13,10,Alfy,07-04-2017,16:01,N/A,11892,45494,Golden_Retriever,0.762211,True
46,882045870035918850,2017-07-04 01:18:17,13,10,Koko,07-04-2017,01:18,N/A,5122,29703,Web_Site,0.949591,False
47,881906580714921986,2017-07-03 16:04:48,12,10,Rey,07-03-2017,16:04,N/A,3486,24582,Weimaraner,0.291539,True
48,881666595344535552,2017-07-03 00:11:11,13,10,Gary,07-03-2017,00:11,N/A,10959,51130,Saluki,0.529012,True
